academic_year,semester,course_code,course_name,course_type,lecture_hours,practical_hours,tutorial_hours,credits,course_dept,teaching_dept,teaching_dept_id,student_dept,Unnamed: 13,lab_description,required_room_type,specific_room_type,room_number,block,room_description
2.0,3.0,MT23331,Analog Devices and Drives,LoT,2.0,2.0,0.0,3.0,Mechatronics Engineering,Mechatronics Engineering,24.0,Mechatronics Engineering,,Industrial Automation Lab,Core-Lab,LAB,B305,B Block,Industrial Automation Lab
3.0,5.0,RO23521,Mobile Robotics laboratory,L,0.0,4.0,0.0,2.0,Robotics & Automation,Robotics & Automation,27.0,Robotics & Automation,,Isaac Asimov Laboratory,Core-Lab,LAB,DG,D Block,Isaac Asimov Laboratory
2.0,3.0,RO23332,Mechanics of Materials,LoT,3.0,2.0,0.0,4.0,Robotics & Automation,Robotics & Automation,27.0,Robotics & Automation,,Strength of Materials Lab,Core-Lab,LAB,WS MECH SM,C Block,Strength of Materials Lab
2.0,3.0,RO23331,Elements of Manufacturing Process,LoT,2.0,2.0,0.0,3.0,Robotics & Automation,Robotics & Automation,27.0,Robotics & Automation,,Manufacturing Technology I,Core-Lab,LAB,WS MECH GF1,C Block,Manufacturing Technology I
3.0,5.0,RO23522,"Industrial Automation 
 Laboratory-II",L,0.0,4.0,0.0,2.0,Robotics & Automation,Robotics & Automation,27.0,Robotics & Automation,,Industrial Automation Lab,Core-Lab,LAB,B305,B Block,Industrial Automation Lab
3.0,5.0,MT23522,Industrial Electronics Laboratory,L,0.0,2.0,0.0,1.0,Mechatronics Engineering,Mechatronics Engineering,24.0,Mechatronics Engineering,,Power Electronics Lab,Core-Lab,LAB,BG009,B Block,Power Electronics Lab
2.0,3.0,MT23332,Digital System Design,LoT,2.0,2.0,0.0,3.0,Mechatronics Engineering,Mechatronics Engineering,24.0,Mechatronics Engineering,,MCT CAD Lab,Core-Lab,LAB,B310,B Block,MCT CAD Lab
3.0,5.0,FT23512,Food Processing and Preservation Laboratory - II,L,0.0,4.0,0.0,2.0,Food Technology,Food Technology,18.0,Food Technology,,Food Processing and Preservation Lab,Core-Lab,LAB,CG003,C Block,Food Processing and Preservation Lab
4.0,5.0,FT19711,Food Packaging Technology Laboratory,L,0.0,4.0,0.0,2.0,Food Technology,Food Technology,18.0,Food Technology,,Baking Lab,Core-Lab,LAB,CG002,C Block,Baking Lab
4.0,6.0,FT19712,Livestock and Marine Technology Laboratory,L,0.0,4.0,0.0,2.0,Food Technology,Food Technology,18.0,Food Technology,,Livestock Lab,Core-Lab,LAB,WS AUTO FF4,Workshop,Livestock Lab
2.0,3.0,AT23331,Automotive Engines,LoT,3.0,2.0,0.0,4.0,Automobile Engineering,Automobile Engineering,5.0,Automobile Engineering,,Thermal Lab 1,Core-Lab,LAB,WS MECH FF4,C Block,Thermal Lab 1
2.0,3.0,AT23332,Applied Thermodynamics,LoT,2.0,2.0,1.0,4.0,Automobile Engineering,Automobile Engineering,5.0,Automobile Engineering,,Thermal Lab 2,Core-Lab,LAB,WS MECH TL,C Block,Thermal Lab 2
2.0,3.0,AT23333,Strength of Materials for Automobile Engineers,LoT,2.0,2.0,1.0,4.0,Automobile Engineering,Automobile Engineering,5.0,Automobile Engineering,,Strength of Materials Lab,Core-Lab,LAB,WS MECH SM,C Block,Strength of Materials Lab
2.0,3.0,AT23334,Production Technology - II,LoT,3.0,2.0,0.0,4.0,Automobile Engineering,Automobile Engineering,5.0,Automobile Engineering,,Manufacturing Technology II,Core-Lab,LAB,WS MECH GF2,C Block,Manufacturing Technology II
4.0,7.0,MT19711,Computer Aided Engineering Laboratory,L,0.0,3.0,0.0,1.0,Mechatronics Engineering,Mechatronics Engineering,24.0,Mechatronics Engineering,,MCT CAD Lab,Core-Lab,LAB,B310,B Block,MCT CAD Lab
4.0,7.0,MT19721,Project Work Phase - I,L,0.0,2.0,0.0,1.0,Mechatronics Engineering,Mechatronics Engineering,24.0,Mechatronics Engineering,,Microprocessor and Microcontrollers Lab,Core-Lab,LAB,C106,C Block,Microprocessor and Microcontrollers Lab
4.0,7.0,EC19712,Advanced Communication Systems Laboratory,L,0.0,4.0,0.0,2.0,Electronics & Communication Engineering,Electronics & Communication Engineering,16.0,Electronics & Communication Engineering,,Optical and Microwave Lab,Core-Lab,LAB,B120,B Block,Optical and Microwave Lab
2.0,3.0,EC23321,Analog and Digital Circuits Laboratory,L,0.0,4.0,0.0,2.0,Electronics & Communication Engineering,Electronics & Communication Engineering,16.0,Electronics & Communication Engineering,,Basic Electronics Lab-1,Core-Lab,LAB,B118,B Block,Basic Electronics Lab-1
4.0,7.0,EE19742,Power System Operation and Control,LoT,2.0,2.0,1.0,4.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15.0,Electrical & Electronics Engineering,,Power System Simulation Lab,Core-Lab,LAB,B318,B Block,Power System Simulation Lab
3.0,5.0,EE23521,Control and Instrumentation Laboratory,L,0.0,2.0,0.0,1.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15.0,Electrical & Electronics Engineering,,Power Electronics Lab,Core-Lab,LAB,BG009,B Block,Power Electronics Lab
3.0,5.0,GE23627,Design Thinking and Innovation,L,0.0,4.0,0.0,2.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15.0,Electrical & Electronics Engineering,,Electronic Devices & Circuits Lab,Core-Lab,LAB,B311,B Block,Electronic Devices & Circuits Lab
2.0,3.0,EE23321,Electronic Devices and Circuits Laboratory,L,0.0,2.0,0.0,1.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15.0,Electrical & Electronics Engineering,,Electronic Devices & Circuits Lab,Core-Lab,LAB,B311,B Block,Electronic Devices & Circuits Lab
3.0,5.0,EE23531,"Microprocessors, Microcontrollers and Applications",LoT,3.0,2.0,0.0,4.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15.0,Electrical & Electronics Engineering,,Electronic Devices & Circuits Lab,Core-Lab,LAB,B311,B Block,Electronic Devices & Circuits Lab
1.0,1.0,ET23121,Embedded System Laboratory I,L,0.0,4.0,0.0,2.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15.0,Electrical & Electronics Engineering,,Embedded System Laboratory(EEE),Core-Lab,LAB,BG010,B Block,Embedded System Laboratory(EEE)
2.0,3.0,ET23322,IOT for Embedded Applications Laboratory,L,0.0,4.0,0.0,2.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15.0,Electrical & Electronics Engineering,,Embedded System Laboratory(EEE),Core-Lab,LAB,BG010,B Block,Embedded System Laboratory(EEE)
4.0,7.0,ME19741,Mechatronics,LoT,3.0,2.0,0.0,5.0,Mechanical Engineering,Mechanical Engineering,23.0,Mechanical Engineering,,Mechatronics Lab,Core-Lab,LAB,C107,C Block,Mechatronics Lab
3.0,5.0,ME23531,Heat and Mass Transfer,LoT,3.0,2.0,0.0,4.0,Mechanical Engineering,Mechanical Engineering,23.0,Mechanical Engineering,,Thermal Lab 2,Core-Lab,LAB,WS MECH TL,C Block,Thermal Lab 2
3.0,5.0,ME23532,Metrology and Measurements,LoT,3.0,2.0,0.0,4.0,Mechanical Engineering,Mechanical Engineering,23.0,Mechanical Engineering,,Metrology & Measurement Lab,Core-Lab,LAB,C408,C Block,Metrology & Measurement Lab
3.0,5.0,ME23521,Component Modeling Laboratory,L,0.0,4.0,0.0,2.0,Mechanical Engineering,Mechanical Engineering,23.0,Mechanical Engineering,,,Core-Lab,LAB,TANCAM,Arch Block,
2.0,3.0,ME23331,Strength of Materials,LoT,3.0,2.0,0.0,4.0,Mechanical Engineering,Mechanical Engineering,23.0,Mechanical Engineering,,Strength of Materials Lab,Core-Lab,LAB,WS MECH SM,C Block,Strength of Materials Lab
2.0,3.0,ME23321,Manufacturing Technology Laboratory I,L,0.0,2.0,0.0,1.0,Mechanical Engineering,Mechanical Engineering,23.0,Mechanical Engineering,,Machine Shop FF2 - EPL - 2,Core-Lab,LAB,WS MECH FF2,C Block,Machine Shop FF2 - EPL - 2
4.0,7.0,EE19741,Renewable Energy Systems,LoT,3.0,2.0,0.0,4.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15.0,Electrical & Electronics Engineering,,Power System Simulation Lab,Core-Lab,LAB,B318,B Block,Power System Simulation Lab
1.0,1.0,EE23131,Principles of Electrical Engineering,LoT,2.0,2.0,0.0,3.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15.0,Computer Science & Business Systems,,Electrical Machines II Lab,Core-Lab,LAB,WBL11,B Block,Electrical Machines II Lab
2.0,3.0,CH23331,Fluid Mechanics for Chemical Engineers,LoT,3.0,2.0,1.0,4.0,Chemical Engineering,Chemical Engineering,8.0,Chemical Engineering,,Fluid Mechanics Lab,Core-Lab,LAB,WS MECH FM,C Block,Fluid Mechanics Lab
3.0,5.0,CH23521,Heat Transfer Lab,L,0.0,4.0,0.0,2.0,Chemical Engineering,Chemical Engineering,8.0,Chemical Engineering,,Heat Transfer Lab,Core-Lab,LAB,WS AUTO FF2,Workshop,Heat Transfer Lab
3.0,5.0,AT23531,Automotive Electrical and Electronics,LoT,3.0,2.0,0.0,4.0,Automobile Engineering,Automobile Engineering,5.0,Automobile Engineering,,Chemical Reaction Engineering Lab,Core-Lab,LAB,B Ground Floor,B Block,Chemical Reaction Engineering Lab
1.0,1.0,ED23131,Vibration Analysis and Control,LoT,3.0,2.0,0.0,4.0,Mechanical Engineering,Mechanical Engineering,23.0,Mechanical Engineering,,Dynamics Lab,Core-Lab,LAB,C407,C Block,Dynamics Lab
1.0,1.0,ED23121,Mechanism Design Laboratory,L,0.0,4.0,0.0,2.0,Mechanical Engineering,Mechanical Engineering,23.0,Mechanical Engineering,,Mech CAD Lab,Core-Lab,LAB,C401,C Block,Mech CAD Lab
4.0,7.0,CH19711,Chemical Reaction Engineering  lab,L,0.0,3.0,0.0,2.0,Chemical Engineering,Chemical Engineering,8.0,Chemical Engineering,,Chemical Reaction Engineering Lab,Core-Lab,LAB,B Ground Floor,B Block,Chemical Reaction Engineering Lab
4.0,7.0,BM19741,Digital Image Processing Techniques,LoT,2.0,2.0,1.0,4.0,Biomedical Engineering,Biomedical Engineering,6.0,Biomedical Engineering,,Medical Image Processing Lab,Core-Lab,LAB,DG004,D Block,Medical Image Processing Lab
2.0,3.0,BM23331,Electronic Devices & Circuits,LoT,3.0,2.0,0.0,4.0,Biomedical Engineering,Biomedical Engineering,6.0,Biomedical Engineering,,Electronics and Instrumentation,Core-Lab,LAB,DG012,D Block,Electronics and Instrumentation
2.0,3.0,BM23321,Biochemistry and Physiology Laboratory,L,0.0,4.0,0.0,2.0,Biomedical Engineering,Biomedical Engineering,6.0,Biomedical Engineering,,Biochemistry Lab,Core-Lab,LAB,B First Floor,B Block,Biochemistry Lab
2.0,3.0,BM23322,Biomedical Instrumentation Laboratory,L,0.0,4.0,0.0,2.0,Biomedical Engineering,Biomedical Engineering,6.0,Biomedical Engineering,,Diagnostic and Therapeutic Equipment Lab,Core-Lab,LAB,DG013,D Block,Diagnostic and Therapeutic Equipment Lab
3.0,5.0,BM23531,Signals and Systems Analysis,LoT,1.0,2.0,1.0,3.0,Biomedical Engineering,Biomedical Engineering,6.0,Biomedical Engineering,,Medical Image Processing Lab,Core-Lab,LAB,DG004,D Block,Medical Image Processing Lab
3.0,5.0,BM23532,Microcontroller and Embedded System Design,LoT,3.0,2.0,0.0,4.0,Biomedical Engineering,Biomedical Engineering,6.0,Biomedical Engineering,,Microprocessor Lab-1,Core-Lab,LAB,B205,B Block,Microprocessor Lab-1
3.0,5.0,BM23521,Diagnostic and Therapeutic Equipment Laboratory,L,0.0,4.0,0.0,2.0,Biomedical Engineering,Biomedical Engineering,6.0,Biomedical Engineering,,Diagnostic and Therapeutic Equipment Lab,Core-Lab,LAB,DG013,D Block,Diagnostic and Therapeutic Equipment Lab
4.0,7.0,BM19712,Hospital Training,L,0.0,2.0,0.0,1.0,Biomedical Engineering,Biomedical Engineering,6.0,Biomedical Engineering,,Diagnostic and Therapeutic Equipment Lab,Core-Lab,LAB,DG013,D Block,Diagnostic and Therapeutic Equipment Lab
4.0,7.0,BM19713,AI-ML-DL in Healthcare,L,0.0,6.0,0.0,3.0,Biomedical Engineering,Biomedical Engineering,6.0,Biomedical Engineering,,Electronics and Instrumentation,Core-Lab,LAB,DG012,D Block,Electronics and Instrumentation
1.0,1.0,MX23131,Biosignal Acquisition and Processing,LoT,2.0,2.0,1.0,4.0,Biomedical Engineering,Biomedical Engineering,6.0,Biomedical Engineering,,Medical Image Processing Lab,Core-Lab,LAB,DG004,D Block,Medical Image Processing Lab
1.0,1.0,MX23121,Biomedical Instrumentation Lab,L,0.0,4.0,0.0,2.0,Biomedical Engineering,Biomedical Engineering,6.0,Biomedical Engineering,,Diagnostic and Therapeutic Equipment Lab,Core-Lab,LAB,DG013,D Block,Diagnostic and Therapeutic Equipment Lab
1.0,1.0,MX23322,Training in Healthcare Sector,L,0.0,4.0,0.0,2.0,Biomedical Engineering,Biomedical Engineering,6.0,Biomedical Engineering,,Diagnostic and Therapeutic Equipment Lab,Core-Lab,LAB,DG013,D Block,Diagnostic and Therapeutic Equipment Lab
4.0,7.0,EC19711,Embedded Laboratory,L,0.0,4.0,0.0,2.0,Electronics & Communication Engineering,Electronics & Communication Engineering,16.0,Electronics & Communication Engineering,,Embedded System Laboratory (ECE),Core-Lab,LAB,B117,B Block,Embedded System Laboratory (ECE)
2.0,3.0,FT23311,Food Microbiology Laboratory,L,0.0,4.0,0.0,2.0,Food Technology,Food Technology,18.0,Food Technology,,Food Microbiology Lab,Core-Lab,LAB,CG001,C Block,Food Microbiology Lab
1.0,1.0,AV23121,AVIONICS INTEGRATION LABORATORY,L,0.0,3.0,0.0,2.0,Aeronautical Engineering,Aeronautical Engineering,2.0,Aeronautical Engineering,,Avionics Lab,Core-Lab,LAB,CG005,C Block,Avionics Lab
1.0,1.0,GE23121,Engineering Practices â€“ Civil and Mechanical,L,0.0,2.0,0.0,1.0,Mechanical Engineering,Civil Engineering,10.0,Civil Engineering,,Machine Shop FF1 - EPL - 1,Core-Lab,LAB,WS MECH FF1,C Block,Machine Shop FF1 - EPL - 1
1.0,1.0,EE23133,Basic Electrical and Electronics Engineering,LoT,3.0,2.0,0.0,4.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15.0,Computer Science & Engineering (Cyber Security),,Electrical Machines I Lab,Core-Lab,LAB,BG014,B Block,Electrical Machines I Lab
3.0,5.0,EE23B21,Wiring Harness Design Engineering,L,0.0,6.0,0.0,3.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15.0,Electrical & Electronics Engineering,,,Core-Lab,LAB,TANCAM,Arch Block,
1.0,1.0,MT23121,Computer Aided Drawing Lab,L,0.0,2.0,0.0,1.0,Mechatronics Engineering,Mechatronics Engineering,24.0,Mechatronics Engineering,,MCT CAD Lab,Core-Lab,LAB,B310,B Block,MCT CAD Lab
4.0,7.0,BT19711,Downstream processing lab,L,0.0,4.0,0.0,1.5,Biotechnology,Biotechnology,7.0,Biotechnology,,Downstream Processing Lab,Core-Lab,LAB,B Second Floor,B Block,Downstream Processing Lab
3.0,5.0,BT23523,Immunology lab,L,0.0,4.0,0.0,2.0,Biotechnology,Biotechnology,7.0,Biotechnology,,Immunology Lab,Core-Lab,LAB,B First Floor,B Block,Immunology Lab
4.0,7.0,EE19711,Project Work / Phase -I,L,0.0,8.0,0.0,3.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15.0,Electrical & Electronics Engineering,,Power System Simulation Lab,Core-Lab,LAB,B318,B Block,Power System Simulation Lab
1.0,1.0,CY23131,Chemistry For Electronics Engineering,LoT,3.0,2.0,0.0,4.0,Chemistry,Chemistry,9.0,Electronics & Communication Engineering,,Chemistry Lab,Core-Lab,LAB,D503,D Block,Chemistry Lab
1.0,1.0,GE23121,Engineering Practices - Civil and Mechanical,L,0.0,2.0,0.0,1.0,Automobile Engineering,Automobile Engineering,5.0,Automobile Engineering,,Machine Shop FF1 - EPL - 1,Core-Lab,LAB,WS MECH FF1,C Block,Machine Shop FF1 - EPL - 1
1.0,1.0,BY23122,Recombinant DNA Technology Laboratory,L,0.0,6.0,0.0,3.0,Biotechnology,Biotechnology,7.0,Biotechnology,,Genetic Engineering Lab,Core-Lab,LAB,B First Floor,B Block,Genetic Engineering Lab
1.0,1.0,EE23132,Basic Electrical Engineering,LoT,3.0,2.0,0.0,4.0,Electrical & Electronics Engineering,Electrical & Electronics Engineering,15.0,Mechatronics Engineering,,Electrical Machines II Lab,Core-Lab,LAB,WBL11,B Block,Electrical Machines II Lab
